anchor,layer,window,alpha,component,metric,mean,lo,hi
final,0,1,0.25,resid,kl_t+1,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,1,0.25,resid,kl_t+10,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,1,0.25,resid,kl_t+20,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,1,0.25,resid,kl_t+5,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,1,0.5,resid,kl_t+1,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255
final,0,1,0.5,resid,kl_t+10,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255
final,0,1,0.5,resid,kl_t+20,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255
final,0,1,0.5,resid,kl_t+5,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255
final,0,1,0.75,resid,kl_t+1,9.191894815939257,7.53893211191681e-09,22.06666779518127
final,0,1,0.75,resid,kl_t+10,9.191894815939257,7.53893211191681e-09,22.06666779518127
final,0,1,0.75,resid,kl_t+20,9.191894815939257,7.53893211191681e-09,22.06666779518127
final,0,1,0.75,resid,kl_t+5,9.191894815939257,7.53893211191681e-09,22.06666779518127
final,0,1,1.0,resid,kl_t+1,9.989605385597057,5.029425897973284e-09,23.800290298461913
final,0,1,1.0,resid,kl_t+10,9.989605385597057,5.029425897973284e-09,23.800290298461913
final,0,1,1.0,resid,kl_t+20,9.989605385597057,5.029425897973284e-09,23.800290298461913
final,0,1,1.0,resid,kl_t+5,9.989605385597057,5.029425897973284e-09,23.800290298461913
final,0,3,0.25,resid,kl_t+1,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,3,0.25,resid,kl_t+10,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,3,0.25,resid,kl_t+20,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,3,0.25,resid,kl_t+5,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691
final,0,3,0.5,resid,kl_t+1,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255
final,0,3,0.5,resid,kl_t+10,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255
