anchor,layer,window,alpha,component,final_kl_mean,final_kl_lo,final_kl_hi,flip_rate,dnll_mean,dnll_lo,dnll_hi,n
final,0,1,0.25,resid,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691,0.0,0.0,0.0,0.0,60
final,0,1,0.5,resid,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255,0.23333333333333334,0.0,0.0,0.0,60
final,0,1,0.75,resid,9.191894815939257,7.53893211191681e-09,22.06666779518127,0.7833333333333333,0.0,0.0,0.0,60
final,0,1,1.0,resid,9.989605385597057,5.029425897973284e-09,23.800290298461913,0.8166666666666667,0.0,0.0,0.0,60
final,0,3,0.25,resid,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691,0.0,0.0,0.0,0.0,60
final,0,3,0.5,resid,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255,0.23333333333333334,0.0,0.0,0.0,60
final,0,3,0.75,resid,9.191894815939257,7.53893211191681e-09,22.06666779518127,0.7833333333333333,0.0,0.0,0.0,60
final,0,3,1.0,resid,9.989605385597057,5.029425897973284e-09,23.800290298461913,0.8166666666666667,0.0,0.0,0.0,60
final,0,5,0.25,resid,0.0021641862996457355,-3.314816492405725e-08,0.01483787398319691,0.0,0.0,0.0,0.0,60
final,0,5,0.5,resid,1.9747474659358788,-1.0708116193747229e-08,17.859201121330255,0.23333333333333334,0.0,0.0,0.0,60
final,0,5,0.75,resid,9.191894815939257,7.53893211191681e-09,22.06666779518127,0.7833333333333333,0.0,0.0,0.0,60
final,0,5,1.0,resid,9.989605385597057,5.029425897973284e-09,23.800290298461913,0.8166666666666667,0.0,0.0,0.0,60
final,2,1,0.25,resid,0.01840698399440712,-2.4925502606354396e-08,0.02984830606728792,0.0,0.0,0.0,0.0,60
final,2,1,0.5,resid,2.3877625753777294,-7.337359342329815e-09,18.4729498386383,0.23333333333333334,0.0,0.0,0.0,60
final,2,1,0.75,resid,9.005617811603205,2.3389204084622864e-08,20.20396156311035,0.7666666666666667,0.0,0.0,0.0,60
final,2,1,1.0,resid,10.485607434996489,5.880306019889759e-08,23.820127630233763,0.8333333333333334,0.0,0.0,0.0,60
final,2,3,0.25,resid,0.01840698399440712,-2.4925502606354396e-08,0.02984830606728792,0.0,0.0,0.0,0.0,60
final,2,3,0.5,resid,2.3877625753777294,-7.337359342329815e-09,18.4729498386383,0.23333333333333334,0.0,0.0,0.0,60
final,2,3,0.75,resid,9.005617811603205,2.3389204084622864e-08,20.20396156311035,0.7666666666666667,0.0,0.0,0.0,60
final,2,3,1.0,resid,10.485607434996489,5.880306019889759e-08,23.820127630233763,0.8333333333333334,0.0,0.0,0.0,60
final,2,5,0.25,resid,0.01840698399440712,-2.4925502606354396e-08,0.02984830606728792,0.0,0.0,0.0,0.0,60
final,2,5,0.5,resid,2.3877625753777294,-7.337359342329815e-09,18.4729498386383,0.23333333333333334,0.0,0.0,0.0,60
final,2,5,0.75,resid,9.005617811603205,2.3389204084622864e-08,20.20396156311035,0.7666666666666667,0.0,0.0,0.0,60
final,2,5,1.0,resid,10.485607434996489,5.880306019889759e-08,23.820127630233763,0.8333333333333334,0.0,0.0,0.0,60
final,4,1,0.25,resid,0.07374075024271974,-4.553869068502081e-08,0.04343495378270743,0.016666666666666666,0.0,0.0,0.0,60
final,4,1,0.5,resid,2.6205397714120813,-3.421539869208345e-08,19.224565887451167,0.2,0.0,0.0,0.0,60
final,4,1,0.75,resid,8.86894504503633,4.8867730642609974e-08,22.018218469619747,0.7666666666666667,0.0,0.0,0.0,60
final,4,1,1.0,resid,10.538775505079673,1.192429429863751e-07,23.470341205596924,0.8333333333333334,0.0,0.0,0.0,60
final,4,3,0.25,resid,0.07374075024271974,-4.553869068502081e-08,0.04343495378270743,0.016666666666666666,0.0,0.0,0.0,60
final,4,3,0.5,resid,2.6205397714120813,-3.421539869208345e-08,19.224565887451167,0.2,0.0,0.0,0.0,60
final,4,3,0.75,resid,8.86894504503633,4.8867730642609974e-08,22.018218469619747,0.7666666666666667,0.0,0.0,0.0,60
final,4,3,1.0,resid,10.538775505079673,1.192429429863751e-07,23.470341205596924,0.8333333333333334,0.0,0.0,0.0,60
final,4,5,0.25,resid,0.07374075024271974,-4.553869068502081e-08,0.04343495378270743,0.016666666666666666,0.0,0.0,0.0,60
final,4,5,0.5,resid,2.6205397714120813,-3.421539869208345e-08,19.224565887451167,0.2,0.0,0.0,0.0,60
final,4,5,0.75,resid,8.86894504503633,4.8867730642609974e-08,22.018218469619747,0.7666666666666667,0.0,0.0,0.0,60
final,4,5,1.0,resid,10.538775505079673,1.192429429863751e-07,23.470341205596924,0.8333333333333334,0.0,0.0,0.0,60
final,6,1,0.25,resid,0.15160235544022319,-5.366729096678568e-08,0.5366418106481421,0.016666666666666666,0.0,0.0,0.0,60
final,6,1,0.5,resid,2.773531811881388,-2.061485984139466e-08,20.039487123489376,0.25,0.0,0.0,0.0,60
final,6,1,0.75,resid,8.58861886643255,5.51610980892292e-08,20.67583756446838,0.7666666666666667,0.0,0.0,0.0,60
final,6,1,1.0,resid,10.52556363543582,6.729665003035734e-08,22.30740232467651,0.8333333333333334,0.0,0.0,0.0,60
final,6,3,0.25,resid,0.15160235544022319,-5.366729096678568e-08,0.5366418106481421,0.016666666666666666,0.0,0.0,0.0,60
final,6,3,0.5,resid,2.773531811881388,-2.061485984139466e-08,20.039487123489376,0.25,0.0,0.0,0.0,60
final,6,3,0.75,resid,8.58861886643255,5.51610980892292e-08,20.67583756446838,0.7666666666666667,0.0,0.0,0.0,60
final,6,3,1.0,resid,10.52556363543582,6.729665003035734e-08,22.30740232467651,0.8333333333333334,0.0,0.0,0.0,60
final,6,5,0.25,resid,0.15160235544022319,-5.366729096678568e-08,0.5366418106481421,0.016666666666666666,0.0,0.0,0.0,60
final,6,5,0.5,resid,2.773531811881388,-2.061485984139466e-08,20.039487123489376,0.25,0.0,0.0,0.0,60
final,6,5,0.75,resid,8.58861886643255,5.51610980892292e-08,20.67583756446838,0.7666666666666667,0.0,0.0,0.0,60
final,6,5,1.0,resid,10.52556363543582,6.729665003035734e-08,22.30740232467651,0.8333333333333334,0.0,0.0,0.0,60
final,12,1,0.25,resid,0.41379999547295143,-1.301609554582583e-08,4.845925426483153,0.08333333333333333,0.0,0.0,0.0,60
final,12,1,0.5,resid,3.2128230841940058,8.82494375353815e-09,20.233203744888304,0.2833333333333333,0.0,0.0,0.0,60
final,12,1,0.75,resid,8.77484669074116,1.4111104746916682e-07,21.580491828918454,0.7333333333333333,0.0,0.0,0.0,60
final,12,1,1.0,resid,11.530722605430872,4.491734948430804e-07,23.361285066604612,0.9,0.0,0.0,0.0,60
final,12,3,0.25,resid,0.41379999547295143,-1.301609554582583e-08,4.845925426483153,0.08333333333333333,0.0,0.0,0.0,60
final,12,3,0.5,resid,3.2128230841940058,8.82494375353815e-09,20.233203744888304,0.2833333333333333,0.0,0.0,0.0,60
final,12,3,0.75,resid,8.77484669074116,1.4111104746916682e-07,21.580491828918454,0.7333333333333333,0.0,0.0,0.0,60
final,12,3,1.0,resid,11.530722605430872,4.491734948430804e-07,23.361285066604612,0.9,0.0,0.0,0.0,60
