task_id,domain,align_len,div_mon_mean_early,div_pla_mean_early,cot_len_hidden,cot_len_mon,cot_len_pla,sent_hidden,sent_mon,sent_pla,hedge_hidden,hedge_mon,hedge_pla,acc_hidden,acc_mon,acc_pla
code_26,code,364,0.011195719242095947,0.0029324988524119058,1103,1068,1131,29,22,26,1,4,1,,,
qa_48,qa,320,0.002913395563761393,0.0017707546552022297,398,901,556,15,20,17,0,0,0,True,,True
math_36,math,329,0.004290292660395305,0.004282116889953613,741,759,705,19,17,19,1,1,0,False,False,False
math_55,math,335,0.004730651775995891,0.003886749347050985,822,774,803,23,23,26,1,1,0,True,False,False
qa_2,qa,248,0.003561347723007202,0.014103521903355917,1038,1077,680,20,23,13,1,1,0,,,True
math_44,math,362,0.01121090849240621,0.012146939833958944,763,610,744,16,19,19,1,0,0,False,True,False
math_54,math,367,0.007817238569259644,0.014690260092417399,951,968,697,23,20,22,3,0,0,False,False,False
math_19,math,350,0.01447396477063497,0.008801013231277466,890,998,939,22,24,24,1,1,0,False,True,False
qa_3,qa,318,0.0038365324338277182,0.0048456887404123945,755,709,862,13,15,14,0,0,0,,True,True
code_25,code,408,0.0042613645394643145,0.003688216209411621,1087,996,999,22,21,27,1,2,1,,,
code_8,code,392,0.0008045434951782227,0.004739890495936076,1010,1005,933,29,29,21,1,1,2,,,
qa_19,qa,327,0.022398263216018677,0.02204836408297221,747,969,994,14,19,19,0,0,0,False,,
math_56,math,330,0.018520196278889973,0.053912460803985596,845,865,932,17,21,20,0,0,0,True,False,True
math_24,math,324,0.0022755861282348633,0.0008516410986582438,739,683,735,21,18,21,1,1,1,False,False,False
math_10,math,345,0.0008694132169087728,0.0037530759970347085,765,765,751,20,20,21,0,0,0,False,False,True
math_40,math,329,0.003365675608317057,0.0009684364000956217,913,937,918,22,25,21,1,0,0,False,True,False
math_21,math,331,0.007918357849121094,0.001872787872950236,878,899,848,25,26,27,0,2,0,False,False,False
math_7,math,355,0.0027872721354166665,0.0031283299128214517,844,888,855,20,19,21,0,0,0,False,False,False
qa_41,qa,452,0.04702497522036234,0.0038883586724599204,1308,1239,1269,22,23,19,0,0,0,,,
math_8,math,389,0.011619031429290771,0.010677456855773926,960,804,899,19,28,20,0,0,2,False,False,False
math_33,math,316,0.009204655885696411,0.015892525513966877,807,957,631,22,20,21,0,0,0,False,False,False
math_32,math,326,0.0217017928759257,0.023353556791941326,780,810,787,18,23,20,0,0,0,False,False,False
code_38,code,438,0.002767801284790039,0.0018293460210164387,1174,1095,1135,24,24,26,0,0,0,,,
qa_13,qa,277,0.0023710628350575766,0.004156380891799927,556,490,520,15,15,15,0,0,0,True,True,True
qa_0,qa,382,0.0007788737614949545,0.0006637871265411377,353,353,353,18,18,18,0,0,0,True,True,True
math_45,math,379,0.010113686323165894,0.01113012433052063,777,945,941,28,23,22,0,1,0,True,True,True
qa_46,qa,241,0.003349175055821737,0.003800263007481893,295,518,558,11,13,14,0,0,0,True,True,True
code_3,code,399,0.005441516637802124,0.0031435489654541016,1166,1056,1153,31,24,33,0,1,1,,,
math_69,math,337,0.0007000168164571127,0.003859539826711019,752,752,785,23,23,24,2,2,1,False,False,False
math_62,math,353,0.0079347292582194,0.010917921861012777,812,818,732,18,17,17,0,0,2,False,False,False
math_66,math,343,0.020284215609232586,0.005107323328653972,867,970,787,25,22,23,0,0,0,False,False,False
qa_40,qa,435,0.00322917103767395,0.0056413014729817705,742,405,1066,19,13,18,0,0,0,True,True,True
math_58,math,369,0.008416742086410522,0.007800946633021037,724,628,639,22,18,19,1,0,0,False,False,False
math_74,math,411,0.011692901452382406,0.011532127857208252,824,692,764,23,23,27,1,0,1,False,False,False
code_14,code,339,0.008108417193094889,0.008086214462916056,932,982,1068,14,16,16,1,1,0,,,
qa_34,qa,327,0.008709341287612915,0.01147887110710144,761,1150,756,17,18,16,0,0,0,,,
qa_30,qa,284,0.005136022965113322,0.003705402215321859,727,422,806,21,17,21,0,1,0,True,True,False
code_15,code,348,0.00632523496945699,0.017125765482584637,999,1027,914,23,17,13,1,1,0,,,
math_6,math,327,0.0030781428019205728,0.003935565551122029,951,914,923,20,19,20,1,1,1,False,False,False
code_4,code,397,0.0064278244972229,0.006775707006454468,1192,1126,1049,26,19,21,0,1,0,,,
qa_1,qa,531,0.04560336470603943,0.04536944627761841,1077,1032,1249,34,25,27,0,0,0,True,,True
code_32,code,541,0.00410771369934082,0.004873931407928467,1164,1031,983,23,22,23,2,0,1,,,
qa_7,qa,436,0.011977165937423706,0.011147220929463705,893,994,1076,23,23,18,3,1,1,,,
code_31,code,386,0.020817160606384277,0.0064556896686553955,939,1123,964,35,19,27,0,0,0,,,
qa_56,qa,317,0.0076578160127003985,0.0031919777393341064,602,795,899,16,17,16,0,0,0,False,,
math_23,math,325,0.0017541845639546712,0.0007211963335673014,779,772,783,14,14,14,0,0,0,False,True,False
qa_49,qa,412,0.017756750186284382,0.011662950118382772,877,798,917,21,17,22,0,0,0,True,,
qa_45,qa,238,0.0015953580538431804,0.00973665714263916,1187,1150,474,22,23,14,2,1,0,,,True
code_34,code,357,0.014424324035644531,0.007382531960805257,1204,1086,1102,24,19,25,0,0,0,,,
qa_44,qa,387,0.11085652311642964,0.04078919688860575,1168,613,1189,18,9,28,1,0,0,,,True
math_39,math,358,0.0014230807622273762,0.007981558640797934,996,961,892,28,28,17,1,1,0,False,False,True
code_2,code,365,0.016351938247680664,0.020921011765797932,954,846,720,29,19,14,3,0,0,,,
qa_50,qa,244,0.01080972949663798,0.00878259539604187,734,1151,1160,14,15,18,0,0,1,True,,
math_71,math,320,0.004817177851994832,0.0027580161889394126,943,1005,962,16,18,16,0,0,0,True,True,True
code_19,code,385,0.004271278778711955,0.004257599512736003,1139,1070,1096,18,19,19,0,0,0,,,
math_5,math,341,0.004559189081192017,0.0049324532349904375,758,792,802,24,24,21,1,0,0,True,True,False
math_70,math,338,0.005930890639623006,0.007457733154296875,733,751,717,19,19,18,1,0,0,False,False,False
math_29,math,354,0.008002609014511108,0.014098823070526123,1027,979,939,22,27,20,1,0,2,False,True,False
code_21,code,405,0.0009038249651590983,0.0013708869616190593,935,977,960,14,15,13,1,1,1,,,
math_73,math,330,0.0027768313884735107,0.005152424176534017,815,783,828,23,24,23,0,0,3,False,False,False
code_30,code,398,0.0031931797663370767,0.008578717708587646,972,934,896,14,17,14,0,1,0,,,
qa_53,qa,477,0.04301184415817261,0.048161993424097695,1087,1070,1116,29,19,24,0,0,0,,,
math_3,math,284,0.029716511567433674,0.0211528738339742,768,830,859,16,18,18,0,0,0,False,False,False
qa_28,qa,218,0.003945390383402507,0.008735994497934977,591,440,411,18,17,16,0,0,0,True,True,True
code_35,code,367,0.0306473970413208,0.04923159877459208,1269,1225,1030,21,24,6,0,0,0,,,
qa_15,qa,314,0.014843404293060303,0.01668928066889445,743,633,581,19,14,15,1,0,0,,False,True
math_72,math,335,0.004882385333379109,0.01809855302174886,926,898,761,15,17,22,0,0,1,False,False,False
math_26,math,354,0.002336949110031128,0.002403736114501953,510,511,511,22,19,19,1,1,1,False,False,False
qa_58,qa,317,0.009502669175465902,0.005561341842015584,1095,901,787,20,17,17,0,0,0,,False,
math_50,math,322,0.013152122497558594,0.01942141850789388,940,793,893,22,25,18,0,0,1,True,False,False
qa_35,qa,451,0.04733615120251974,0.0389904777208964,858,1244,1213,16,18,18,0,0,0,,,
math_13,math,343,0.00722705324490865,0.006963551044464111,855,767,819,26,22,20,1,1,1,False,False,False
code_24,code,333,0.006501555442810059,0.00530389944712321,1049,978,1074,15,17,18,3,1,2,,,
math_18,math,314,0.0022427638371785483,0.005681763092676799,851,814,900,25,24,21,0,0,0,False,True,True
math_11,math,350,0.000657498836517334,0.021478792031606037,672,668,787,21,21,10,0,0,0,False,False,False
qa_14,qa,254,0.0029417971769968667,0.0014490187168121338,181,1014,167,12,16,12,0,0,0,True,,True
math_17,math,343,0.01956692337989807,0.03573167324066162,989,737,586,21,18,14,2,0,1,False,False,False
qa_20,qa,369,0.0023991167545318604,0.002248873313268026,771,928,569,31,33,27,0,0,0,False,,True
math_51,math,334,0.01252979040145874,0.009443879127502441,920,778,835,20,19,17,0,0,0,False,False,False
math_67,math,339,0.0013014674186706543,0.006957570711771647,740,754,756,20,20,16,0,0,0,False,False,False
qa_31,qa,313,0.031462401151657104,0.026642292737960815,1041,991,1096,24,14,24,0,0,3,False,True,True
code_0,code,404,0.019769489765167236,0.0027308563391367593,816,1158,911,16,24,21,2,4,3,,,
math_43,math,346,0.05343538522720337,0.0006297429402669271,1283,1130,1283,28,27,28,0,7,0,False,False,False
math_63,math,354,0.01412057876586914,0.011167685190836588,958,909,748,16,19,16,0,0,0,False,False,False
code_37,code,403,0.0057404836018880205,0.0033481220404307046,887,879,830,20,15,15,0,1,0,,,
math_30,math,324,0.004780709743499756,0.002155810594558716,745,688,754,19,21,20,0,0,0,False,True,False
qa_32,qa,262,0.007637212673823039,0.007785588502883911,914,608,652,17,14,16,0,0,0,False,,
code_10,code,422,0.0032483041286468506,0.006919682025909424,1059,1105,1128,20,18,18,1,1,0,,,
math_4,math,396,0.04167857766151428,0.05298923452695211,995,859,857,27,23,24,13,0,0,False,True,False
math_79,math,333,0.0009403626124064127,0.0010480483373006184,934,927,923,19,19,19,0,0,0,True,True,True
qa_59,qa,403,0.05841256181399027,0.046787530183792114,957,759,1058,31,13,22,0,0,0,,True,
code_23,code,323,0.026884853839874268,0.02226102352142334,1318,1252,1220,17,18,19,0,0,4,,,
code_9,code,380,0.010970940192540487,0.006473183631896973,837,1024,805,18,24,21,0,2,1,,,
qa_9,qa,416,0.0076310038566589355,0.002682983875274658,1116,1195,1077,21,19,22,0,0,0,,,
math_16,math,338,0.01844430963198344,0.012346545855204264,939,1003,887,25,22,20,1,0,0,False,False,False
code_22,code,372,0.006022155284881592,0.00574760635693868,1062,1053,1188,19,17,21,1,1,5,,,
qa_51,qa,301,0.0068757931391398115,0.01488788922627767,636,1157,1045,13,21,13,0,0,0,True,,
code_28,code,337,0.007548858722050984,0.010797133048375448,1192,1144,1207,20,18,24,0,1,2,,,
math_27,math,344,0.012833178043365479,0.0012093186378479004,841,869,831,18,22,18,0,0,0,False,False,False
qa_57,qa,201,0.005423744519551595,0.006322294473648071,651,988,420,14,22,11,0,0,0,,True,True
math_52,math,347,0.011449416478474935,0.01633318265279134,877,860,775,20,23,19,1,0,0,False,False,False
code_20,code,446,0.0031397839387257895,0.003403166929880778,896,850,857,15,16,17,1,2,2,,,
math_78,math,328,0.011032203833262125,0.007206588983535767,974,1026,842,17,19,22,1,1,0,False,False,True
code_12,code,382,0.004495481650034587,0.006626983483632405,1116,1130,1191,33,32,22,1,1,2,,,
qa_42,qa,289,0.003128349781036377,0.003339568773905436,1143,939,403,21,25,15,0,0,0,,True,True
code_18,code,368,0.0028467277685801187,0.013166318337122599,1098,1158,1272,20,21,25,1,1,0,,,
code_5,code,372,0.009781797726949057,0.009975324074427286,984,1119,1038,15,21,20,0,0,4,,,
math_42,math,333,0.005245784918467204,0.012521783510843912,863,937,789,27,21,23,2,5,0,True,False,True
qa_29,qa,411,0.018778741359710693,0.009754528601964315,953,1006,1023,23,19,22,0,0,0,True,,False
qa_26,qa,431,0.009954015413920084,0.012175132830937704,1113,1091,1248,22,24,22,0,1,1,False,,
code_13,code,352,0.01478352149327596,0.04487040638923645,1199,1131,987,19,17,22,0,1,0,,,
qa_16,qa,443,0.0014015833536783855,0.0049594541390736895,1112,1090,1217,19,19,19,0,0,1,False,False,True
qa_38,qa,531,0.011532028516133627,0.011761148770650228,1116,1014,984,26,25,24,0,0,0,,False,
