task_id,domain,align_len,div_mon_mean_early,div_pla_mean_early,cot_len_hidden,cot_len_mon,cot_len_pla,sent_hidden,sent_mon,sent_pla,hedge_hidden,hedge_mon,hedge_pla,acc_hidden,acc_mon,acc_pla
math_31,math,348,0.0021037558714548745,0.0015397568543752034,663,719,679,26,25,24,1,0,1,False,True,False
math_46,math,379,0.004473795493443807,0.012829403082529703,866,786,649,23,19,19,1,0,0,False,False,False
math_61,math,347,0.013733754555384317,0.020122359196345013,771,829,685,22,22,24,0,0,0,False,False,False
math_28,math,335,0.004172950983047485,0.003616263469060262,865,880,956,18,19,22,0,0,0,True,False,False
qa_52,qa,498,0.03285502394040426,0.012645115454991659,1257,829,1331,23,18,20,0,0,0,,,True
math_34,math,326,0.006350527207056682,0.0074441929658253985,900,746,813,25,26,27,1,0,1,False,False,False
code_17,code,452,0.003137052059173584,0.005633890628814697,981,1019,911,15,17,20,0,1,1,,,
math_47,math,335,0.0023770729700724282,0.0020178953806559243,795,728,787,23,21,21,0,0,0,True,True,False
code_11,code,362,0.011232266823450724,0.012283215920130411,840,1086,1116,19,19,20,2,2,2,,,
math_0,math,350,0.012162705262502035,0.011474629243214926,959,851,875,24,26,22,0,1,0,True,False,False
math_15,math,379,0.00955989956855774,0.0074574947357177734,716,719,606,15,18,16,0,1,0,False,False,False
code_7,code,373,0.004583607117335002,0.00807038942972819,1137,1136,1206,20,26,25,1,2,2,,,
math_57,math,362,0.01563248038291931,0.026805520057678223,1048,1092,891,16,25,24,1,3,0,False,False,False
qa_6,qa,440,0.011364946762720743,0.012008994817733765,976,984,920,22,27,27,1,3,2,,,
math_76,math,372,0.015046219031016031,0.016039679447809856,802,991,991,22,23,23,0,1,1,False,False,False
code_36,code,364,0.001896182696024577,0.019563674926757812,702,720,1005,16,14,13,1,1,0,,,
qa_47,qa,486,0.0038298467795054116,0.011964897314707438,1011,985,1165,20,23,27,0,0,0,False,,
qa_17,qa,260,0.007922122875849405,0.01404432455698649,983,1174,685,21,24,13,0,0,0,,True,True
math_68,math,322,0.0010013878345489502,0.001090596119562785,867,866,859,17,17,18,0,0,0,False,False,False
math_60,math,323,0.00360188881556193,0.023165990908940632,826,836,869,21,23,22,1,1,1,False,False,False
qa_24,qa,373,0.010251651207605997,0.014665106932322184,573,1119,1218,19,25,26,0,0,0,False,,
math_65,math,332,0.004157145818074544,0.00425832470258077,839,843,811,20,23,25,0,0,1,False,False,True
code_33,code,430,0.00708623727162679,0.004733035961786906,804,802,939,13,15,19,0,1,0,,,
code_29,code,367,0.01218324899673462,0.008621066808700562,1070,1145,974,21,18,15,3,3,1,,,
qa_21,qa,428,0.005331496397654216,0.0036416451136271157,939,1339,1055,20,20,19,0,0,0,True,,True
math_77,math,330,0.0015111366907755535,0.0030940075715382895,953,889,906,17,16,20,0,0,1,False,False,False
qa_4,qa,280,0.003071129322052002,0.0008826255798339844,543,596,543,16,15,16,0,0,0,,,
math_37,math,348,0.012485613425572714,0.026219616333643597,1046,928,718,22,25,21,3,0,1,False,False,False
qa_23,qa,242,0.01007145643234253,0.003942231337229411,411,876,425,18,22,19,0,0,0,True,True,True
qa_10,qa,491,0.007685254017512004,0.012026180823644003,985,1150,1239,20,21,19,0,0,0,,True,
math_9,math,345,0.0007455547650655111,0.016796797513961792,836,836,840,18,18,21,0,0,1,False,False,False
math_64,math,378,0.003079652786254883,0.001672436793645223,795,870,838,24,23,23,1,2,2,False,False,True
qa_39,qa,345,0.05577203631401062,0.006260544061660767,1127,854,1116,14,32,21,0,0,0,,,
math_1,math,266,0.02060435215632121,0.02209933598836263,949,672,880,23,19,17,2,0,0,False,True,True
math_2,math,342,0.0006663203239440918,0.004258493582407634,740,740,649,18,18,19,0,0,0,False,False,False
math_20,math,348,0.0022831459840138755,0.005984177192052205,997,905,979,21,19,19,1,0,0,False,False,False
qa_25,qa,407,0.004868745803833008,0.006798634926478068,1008,1015,1070,20,21,18,0,0,0,,,
math_75,math,351,0.006735016902287801,0.007569342851638794,829,798,764,22,23,18,1,0,1,False,False,False
qa_22,qa,362,0.011159072319666544,0.030748675266901653,967,1048,1202,20,19,18,0,0,0,,False,
code_27,code,328,0.003055532773335775,0.06469280521074931,1166,1151,954,22,16,19,1,2,0,,,
math_53,math,385,0.0007003247737884521,0.00484117865562439,818,809,724,11,11,10,0,0,0,True,True,True
math_49,math,328,0.0024876495202382407,0.0032076736291249595,836,839,836,21,20,18,0,0,0,False,False,False
qa_12,qa,293,0.010980347792307535,0.008451968431472778,1255,554,713,20,12,15,0,0,0,,,
qa_5,qa,272,0.013450572888056437,0.00954298178354899,542,967,1031,15,30,19,0,0,0,True,,
math_14,math,337,0.0036935905615488687,0.009257694085439047,801,738,837,18,18,17,0,0,0,True,False,True
code_1,code,395,0.0038647850354512534,0.0019905765851338706,1295,1218,1284,21,20,20,0,0,1,,,
qa_36,qa,224,0.00652274489402771,0.0075754523277282715,1149,243,243,24,13,13,0,0,0,,True,True
math_35,math,337,0.01630452275276184,0.021215746800104778,977,877,788,20,17,23,3,0,0,True,False,False
qa_11,qa,300,0.004900773366292317,0.0129129687945048,625,760,820,16,16,19,0,0,0,False,False,False
qa_27,qa,521,0.028721392154693604,0.019353290398915608,1098,1148,1237,28,22,24,0,0,0,False,,False
math_25,math,353,0.012234826882680258,0.020818134148915608,851,802,654,15,27,13,2,0,0,False,True,False
qa_33,qa,381,0.005874454975128174,0.0070895155270894366,1206,1360,1291,19,18,19,0,0,0,False,,
qa_37,qa,447,0.005768537521362305,0.0069774190584818525,1215,1318,1162,20,22,19,0,0,0,,,
math_12,math,352,0.00481461485226949,0.008659442265828451,927,879,753,22,21,20,0,0,1,False,False,False
code_16,code,350,0.024264971415201824,0.013493885596593222,987,1131,945,20,25,13,1,1,0,,,
code_39,code,379,0.06477764248847961,0.0004730224609375,352,1010,352,6,15,6,0,0,0,,,
qa_8,qa,303,0.05224015315373739,0.06048117081324259,988,1463,1389,21,23,22,0,0,0,True,,True
math_38,math,329,0.003932058811187744,0.016272445519765217,877,872,799,19,23,23,0,0,0,False,False,False
math_41,math,413,0.005567590395609538,0.0029151737689971924,906,950,918,20,24,19,0,1,0,False,False,True
qa_55,qa,1011,0.0025542378425598145,0.0020652314027150473,1310,1260,1232,41,38,40,1,1,1,,,
qa_54,qa,291,0.009965509176254272,0.013114124536514282,1139,1257,910,22,20,17,0,0,0,False,,True
math_22,math,340,0.0034658114115397134,0.037563055753707886,1000,1046,754,25,23,29,1,1,0,False,False,False
qa_18,qa,398,0.0019066929817199707,0.007836967706680298,620,970,634,20,23,21,0,0,0,True,True,True
code_6,code,392,0.00909717877705892,0.0031983554363250732,1103,1018,1158,18,28,21,0,2,0,,,
math_48,math,322,0.000919342041015625,0.01941452423731486,858,855,834,16,16,26,0,0,1,True,True,True
qa_43,qa,254,0.011340836683909098,0.008019487063090006,1042,1227,816,17,18,15,0,0,0,,True,
math_59,math,317,0.009167452653249105,0.0449663499991099,1061,973,685,18,21,26,0,1,0,False,True,True
