task_id,domain,layer,div_mon,div_pla
math_31,math,0,0.0024895071983337402,0.0015805959701538086
math_31,math,1,0.0019762516021728516,0.0013005733489990234
math_31,math,2,0.0013481974601745605,0.0010080337524414062
math_31,math,3,0.0018829703330993652,0.0015392303466796875
math_31,math,4,0.0025934576988220215,0.002010166645050049
math_31,math,5,0.002332150936126709,0.001799941062927246
math_31,math,6,0.0019477605819702148,0.0013661980628967285
math_31,math,7,0.0021849870681762695,0.0015468597412109375
math_31,math,8,0.0020682215690612793,0.0014873147010803223
math_31,math,9,0.0025982260704040527,0.0018088817596435547
math_31,math,10,0.0026144981384277344,0.0018175244331359863
math_31,math,11,0.002910614013671875,0.0018631219863891602
math_31,math,12,0.0027942657470703125,0.0017594695091247559
math_31,math,13,0.003576815128326416,0.0023690462112426758
math_31,math,14,0.0037140250205993652,0.002442777156829834
math_31,math,15,0.004086017608642578,0.002570211887359619
math_31,math,16,0.004222273826599121,0.0026810765266418457
math_31,math,17,0.004563629627227783,0.0029044747352600098
math_31,math,18,0.004774272441864014,0.00284498929977417
math_31,math,19,0.005532681941986084,0.0032685399055480957
math_31,math,20,0.005955815315246582,0.0036641359329223633
math_31,math,21,0.004261612892150879,0.002650320529937744
math_31,math,22,0.004591226577758789,0.0028545260429382324
math_31,math,23,0.003642141819000244,0.002305924892425537
math_31,math,24,0.0027751922607421875,0.0017077922821044922
math_31,math,25,0.0026093125343322754,0.0016940832138061523
math_31,math,26,0.002088308334350586,0.0013594627380371094
math_31,math,27,0.0030624866485595703,0.0018054842948913574
math_46,math,0,0.004819929599761963,0.016881585121154785
math_46,math,1,0.0038671493530273438,0.012629389762878418
math_46,math,2,0.0029019713401794434,0.008832931518554688
math_46,math,3,0.0042639970779418945,0.011317193508148193
math_46,math,4,0.005937337875366211,0.014677882194519043
math_46,math,5,0.005052387714385986,0.012637436389923096
math_46,math,6,0.0040819644927978516,0.011039972305297852
math_46,math,7,0.00444483757019043,0.01222318410873413
math_46,math,8,0.00433802604675293,0.011849045753479004
math_46,math,9,0.005153656005859375,0.013683438301086426
math_46,math,10,0.005387485027313232,0.013892710208892822
math_46,math,11,0.0056708455085754395,0.015203595161437988
math_46,math,12,0.0050713419914245605,0.01402270793914795
math_46,math,13,0.006098031997680664,0.016425251960754395
math_46,math,14,0.006192207336425781,0.018135011196136475
math_46,math,15,0.006810545921325684,0.021305441856384277
math_46,math,16,0.006755471229553223,0.021292924880981445
math_46,math,17,0.007100462913513184,0.022494018077850342
math_46,math,18,0.007260739803314209,0.0225258469581604
math_46,math,19,0.00856858491897583,0.026847779750823975
math_46,math,20,0.00867927074432373,0.02664494514465332
math_46,math,21,0.006107151508331299,0.017306625843048096
math_46,math,22,0.006566643714904785,0.02023923397064209
math_46,math,23,0.0055408477783203125,0.017259716987609863
math_46,math,24,0.004467368125915527,0.01292121410369873
math_46,math,25,0.0047539472579956055,0.013029158115386963
math_46,math,26,0.004007577896118164,0.011104285717010498
math_46,math,27,0.00607609748840332,0.019900083541870117
math_61,math,0,0.012704968452453613,0.019130349159240723
math_61,math,1,0.011463403701782227,0.01591414213180542
math_61,math,2,0.009659826755523682,0.013406991958618164
math_61,math,3,0.014818668365478516,0.020635008811950684
math_61,math,4,0.017628490924835205,0.027087628841400146
math_61,math,5,0.016127169132232666,0.02456003427505493
math_61,math,6,0.014328837394714355,0.02085012197494507
math_61,math,7,0.016003906726837158,0.022320091724395752
math_61,math,8,0.015814781188964844,0.021234452724456787
math_61,math,9,0.017161071300506592,0.02264505624771118
math_61,math,10,0.01655477285385132,0.0220680832862854
math_61,math,11,0.016752779483795166,0.02277088165283203
math_61,math,12,0.015375971794128418,0.020681560039520264
math_61,math,13,0.01615893840789795,0.02192997932434082
math_61,math,14,0.016734421253204346,0.022886157035827637
math_61,math,15,0.019255638122558594,0.02587491273880005
math_61,math,16,0.018050670623779297,0.024863839149475098
math_61,math,17,0.023421049118041992,0.03149193525314331
math_61,math,18,0.022428512573242188,0.0293581485748291
math_61,math,19,0.02579134702682495,0.0325319766998291
math_61,math,20,0.02531754970550537,0.030770957469940186
math_61,math,21,0.021962106227874756,0.027798950672149658
math_61,math,22,0.02119600772857666,0.02603137493133545
math_61,math,23,0.019100725650787354,0.02290099859237671
math_61,math,24,0.016110002994537354,0.016597390174865723
math_61,math,25,0.01613450050354004,0.017728030681610107
math_61,math,26,0.012431442737579346,0.013680100440979004
math_61,math,27,0.04235178232192993,0.03050631284713745
math_28,math,0,0.005121171474456787,0.004624843597412109
math_28,math,1,0.003992676734924316,0.003589808940887451
math_28,math,2,0.002748847007751465,0.0024454593658447266
math_28,math,3,0.0040593743324279785,0.0033332109451293945
math_28,math,4,0.004810631275177002,0.004034698009490967
math_28,math,5,0.004305005073547363,0.003669559955596924
math_28,math,6,0.003832399845123291,0.003161787986755371
math_28,math,7,0.004074275493621826,0.0034960508346557617
math_28,math,8,0.003933608531951904,0.0033600330352783203
math_28,math,9,0.004369676113128662,0.0034829378128051758
math_28,math,10,0.004123687744140625,0.003547847270965576
math_28,math,11,0.004191875457763672,0.003659367561340332
math_28,math,12,0.004091024398803711,0.0033995509147644043
math_28,math,13,0.005069911479949951,0.0036703944206237793
math_28,math,14,0.005611419677734375,0.003914773464202881
math_28,math,15,0.006419956684112549,0.004083395004272461
math_28,math,16,0.006151914596557617,0.003981232643127441
math_28,math,17,0.007079064846038818,0.005541205406188965
math_28,math,18,0.0066814422607421875,0.005421817302703857
math_28,math,19,0.008655786514282227,0.006344020366668701
math_28,math,20,0.008018195629119873,0.006272017955780029
math_28,math,21,0.0051552653312683105,0.0052471160888671875
math_28,math,22,0.005143105983734131,0.005407929420471191
math_28,math,23,0.004706621170043945,0.005104660987854004
math_28,math,24,0.0034818649291992188,0.0039751529693603516
math_28,math,25,0.0036011338233947754,0.003742694854736328
math_28,math,26,0.0026746392250061035,0.0026726722717285156
math_28,math,27,0.0066901445388793945,0.006572544574737549
qa_52,qa,0,0.036013007164001465,0.011415362358093262
qa_52,qa,1,0.028505325317382812,0.009408712387084961
qa_52,qa,2,0.02450495958328247,0.008733272552490234
qa_52,qa,3,0.031798720359802246,0.012819468975067139
qa_52,qa,4,0.03867274522781372,0.016723155975341797
qa_52,qa,5,0.03763538599014282,0.01677072048187256
qa_52,qa,6,0.0330502986907959,0.014362156391143799
qa_52,qa,7,0.03585785627365112,0.015520632266998291
qa_52,qa,8,0.03631633520126343,0.015298247337341309
qa_52,qa,9,0.04066377878189087,0.017960786819458008
qa_52,qa,10,0.04355555772781372,0.018580913543701172
qa_52,qa,11,0.04393130540847778,0.018622159957885742
qa_52,qa,12,0.03528505563735962,0.015075743198394775
qa_52,qa,13,0.04413449764251709,0.017269670963287354
qa_52,qa,14,0.048058509826660156,0.01801133155822754
qa_52,qa,15,0.05439436435699463,0.0202329158782959
qa_52,qa,16,0.05035054683685303,0.01898515224456787
qa_52,qa,17,0.051422953605651855,0.019934535026550293
qa_52,qa,18,0.05131489038467407,0.019410908222198486
qa_52,qa,19,0.06466025114059448,0.024393677711486816
qa_52,qa,20,0.05371063947677612,0.020884037017822266
qa_52,qa,21,0.033620238304138184,0.014139413833618164
qa_52,qa,22,0.03524905443191528,0.014714837074279785
qa_52,qa,23,0.028745174407958984,0.011972129344940186
qa_52,qa,24,0.02223581075668335,0.01036977767944336
qa_52,qa,25,0.018893420696258545,0.008624374866485596
qa_52,qa,26,0.015813589096069336,0.007318556308746338
qa_52,qa,27,0.0270768404006958,0.01662623882293701
math_34,math,0,0.007434248924255371,0.008818209171295166
math_34,math,1,0.006677508354187012,0.007780611515045166
math_34,math,2,0.004767894744873047,0.005309700965881348
math_34,math,3,0.0061806440353393555,0.007213711738586426
math_34,math,4,0.0070032477378845215,0.008217096328735352
math_34,math,5,0.006039619445800781,0.0073258280754089355
math_34,math,6,0.004846692085266113,0.005947470664978027
math_34,math,7,0.004859507083892822,0.006146371364593506
math_34,math,8,0.004752993583679199,0.005949497222900391
math_34,math,9,0.005304396152496338,0.006429195404052734
math_34,math,10,0.005186200141906738,0.006209313869476318
math_34,math,11,0.005442798137664795,0.006287634372711182
math_34,math,12,0.005121588706970215,0.005859255790710449
math_34,math,13,0.005570590496063232,0.006441235542297363
math_34,math,14,0.005463957786560059,0.006433069705963135
math_34,math,15,0.005856335163116455,0.007243454456329346
math_34,math,16,0.006062805652618408,0.007057011127471924
