task_id,domain,layer,div_mon,div_pla
math_4,math,0,0.0033683180809020996,0.014426827430725098
math_4,math,1,0.0018776655197143555,0.009705781936645508
math_4,math,2,0.000893712043762207,0.00612407922744751
math_4,math,3,0.0011139512062072754,0.008021771907806396
math_4,math,4,0.00147324800491333,0.01007533073425293
math_4,math,5,0.0013217329978942871,0.008695721626281738
math_4,math,6,0.0012881159782409668,0.007661998271942139
math_4,math,7,0.0014448761940002441,0.008865892887115479
math_4,math,8,0.0013848543167114258,0.008625209331512451
math_4,math,9,0.0015305280685424805,0.009900927543640137
math_4,math,10,0.00161057710647583,0.010211348533630371
math_4,math,11,0.0015394091606140137,0.010187268257141113
math_4,math,12,0.0013930797576904297,0.009542346000671387
math_4,math,13,0.0017431974411010742,0.011620521545410156
math_4,math,14,0.0019399523735046387,0.01239389181137085
math_4,math,15,0.0018137693405151367,0.013175010681152344
math_4,math,16,0.0017281770706176758,0.012909471988677979
math_4,math,17,0.0018588900566101074,0.013860583305358887
math_4,math,18,0.0019185543060302734,0.0152549147605896
math_4,math,19,0.0023827552795410156,0.016765713691711426
math_4,math,20,0.0025072097778320312,0.016715407371520996
math_4,math,21,0.001775503158569336,0.011124610900878906
math_4,math,22,0.002031385898590088,0.012673735618591309
math_4,math,23,0.0017682909965515137,0.010382235050201416
math_4,math,24,0.0013371706008911133,0.007838249206542969
math_4,math,25,0.0013023018836975098,0.007750153541564941
math_4,math,26,0.0010942816734313965,0.006619513034820557
math_4,math,27,0.0023073554039001465,0.011335909366607666
math_7,math,0,0.006444871425628662,0.009388327598571777
math_7,math,1,0.004376351833343506,0.006628513336181641
math_7,math,2,0.002161085605621338,0.003191232681274414
math_7,math,3,0.0030348896980285645,0.004567623138427734
math_7,math,4,0.003928959369659424,0.005640149116516113
math_7,math,5,0.0034384727478027344,0.0048348307609558105
math_7,math,6,0.0031455159187316895,0.004321873188018799
math_7,math,7,0.0033693313598632812,0.004814624786376953
math_7,math,8,0.0032135844230651855,0.004323899745941162
math_7,math,9,0.003331780433654785,0.00474393367767334
math_7,math,10,0.003335893154144287,0.004687309265136719
math_7,math,11,0.003409445285797119,0.004851818084716797
math_7,math,12,0.0034137964248657227,0.004940390586853027
math_7,math,13,0.0037431716918945312,0.005973458290100098
math_7,math,14,0.0037900209426879883,0.00595015287399292
math_7,math,15,0.003889024257659912,0.006401121616363525
math_7,math,16,0.0040787458419799805,0.00652313232421875
math_7,math,17,0.00447613000869751,0.007092535495758057
math_7,math,18,0.004680752754211426,0.007765352725982666
math_7,math,19,0.004717111587524414,0.007841885089874268
math_7,math,20,0.005242645740509033,0.008249998092651367
math_7,math,21,0.0046315789222717285,0.0067504048347473145
math_7,math,22,0.005079448223114014,0.00754702091217041
math_7,math,23,0.004268467426300049,0.006434977054595947
math_7,math,24,0.003499746322631836,0.0052255988121032715
math_7,math,25,0.0031659603118896484,0.0049932003021240234
math_7,math,26,0.0025548934936523438,0.004110932350158691
math_7,math,27,0.004769384860992432,0.008704960346221924
qa_8,qa,0,0.056308209896087646,0.03172445297241211
qa_8,qa,1,0.033763349056243896,0.019035518169403076
qa_8,qa,2,0.015087783336639404,0.00896918773651123
qa_8,qa,3,0.019863367080688477,0.0127907395362854
qa_8,qa,4,0.023089051246643066,0.01567971706390381
qa_8,qa,5,0.020392000675201416,0.013735353946685791
qa_8,qa,6,0.018231868743896484,0.012636065483093262
qa_8,qa,7,0.021219909191131592,0.014494597911834717
qa_8,qa,8,0.02101033926010132,0.014577329158782959
qa_8,qa,9,0.023481369018554688,0.01720815896987915
qa_8,qa,10,0.0241696834564209,0.01754695177078247
qa_8,qa,11,0.02529805898666382,0.017649352550506592
qa_8,qa,12,0.024461746215820312,0.016969501972198486
qa_8,qa,13,0.026971161365509033,0.01981276273727417
qa_8,qa,14,0.028133869171142578,0.02127969264984131
qa_8,qa,15,0.030694901943206787,0.024257779121398926
qa_8,qa,16,0.028698205947875977,0.023966968059539795
qa_8,qa,17,0.03298628330230713,0.02629673480987549
qa_8,qa,18,0.034904301166534424,0.027635037899017334
qa_8,qa,19,0.03835475444793701,0.03333282470703125
qa_8,qa,20,0.04276692867279053,0.03939622640609741
qa_8,qa,21,0.035783350467681885,0.03388547897338867
qa_8,qa,22,0.041172921657562256,0.03892284631729126
qa_8,qa,23,0.03408920764923096,0.031973302364349365
qa_8,qa,24,0.030300498008728027,0.027205228805541992
qa_8,qa,25,0.026463031768798828,0.023752272129058838
qa_8,qa,26,0.02149808406829834,0.01929110288619995
qa_8,qa,27,0.05512213706970215,0.04347717761993408
math_0,math,0,0.0154343843460083,0.016727685928344727
math_0,math,1,0.010936498641967773,0.010959863662719727
math_0,math,2,0.005385220050811768,0.005198001861572266
math_0,math,3,0.006908237934112549,0.006765544414520264
math_0,math,4,0.008281469345092773,0.00812453031539917
math_0,math,5,0.007633030414581299,0.0074364542961120605
math_0,math,6,0.007039964199066162,0.006736040115356445
math_0,math,7,0.008660852909088135,0.008212924003601074
math_0,math,8,0.008621513843536377,0.008126378059387207
math_0,math,9,0.009888231754302979,0.009416341781616211
math_0,math,10,0.009472846984863281,0.009780287742614746
math_0,math,11,0.00943523645401001,0.009687840938568115
math_0,math,12,0.009029686450958252,0.009252548217773438
math_0,math,13,0.010584712028503418,0.011324763298034668
math_0,math,14,0.011191844940185547,0.012180328369140625
math_0,math,15,0.011438488960266113,0.01297682523727417
math_0,math,16,0.011811554431915283,0.013228952884674072
math_0,math,17,0.013808250427246094,0.01403135061264038
math_0,math,18,0.01514214277267456,0.015370309352874756
math_0,math,19,0.016237854957580566,0.017200112342834473
math_0,math,20,0.016807973384857178,0.0180814266204834
math_0,math,21,0.01264500617980957,0.013014137744903564
math_0,math,22,0.012466669082641602,0.014047801494598389
math_0,math,23,0.010502159595489502,0.011861324310302734
math_0,math,24,0.008368909358978271,0.009338200092315674
math_0,math,25,0.007902383804321289,0.009099602699279785
math_0,math,26,0.006464838981628418,0.0076847076416015625
math_0,math,27,0.009267449378967285,0.011336863040924072
math_2,math,0,0.0031099915504455566,0.00748366117477417
math_2,math,1,0.0019831061363220215,0.005706489086151123
math_2,math,2,0.001069486141204834,0.0028659701347351074
math_2,math,3,0.001552581787109375,0.004994988441467285
math_2,math,4,0.002186596393585205,0.0067555904388427734
math_2,math,5,0.0020262598991394043,0.005911290645599365
math_2,math,6,0.0017769336700439453,0.005380094051361084
math_2,math,7,0.002016723155975342,0.00603640079498291
math_2,math,8,0.0019333958625793457,0.006090939044952393
math_2,math,9,0.0021216273307800293,0.00659710168838501
math_2,math,10,0.0021077990531921387,0.006114959716796875
math_2,math,11,0.0022574663162231445,0.006557822227478027
math_2,math,12,0.002240121364593506,0.006720483303070068
math_2,math,13,0.0025920867919921875,0.007501840591430664
math_2,math,14,0.002592802047729492,0.00748366117477417
math_2,math,15,0.0028775930404663086,0.007876217365264893
math_2,math,16,0.0029324889183044434,0.008154213428497314
math_2,math,17,0.0032411813735961914,0.009411633014678955
math_2,math,18,0.0033562779426574707,0.009270668029785156
math_2,math,19,0.0035254359245300293,0.00978916883468628
math_2,math,20,0.003978431224822998,0.011219501495361328
math_2,math,21,0.0028663277626037598,0.008773624897003174
math_2,math,22,0.003134310245513916,0.009257018566131592
math_2,math,23,0.002687394618988037,0.0083085298538208
math_2,math,24,0.002058267593383789,0.006754279136657715
math_2,math,25,0.0020491480827331543,0.00678098201751709
math_2,math,26,0.0017015933990478516,0.005742132663726807
math_2,math,27,0.0022085905075073242,0.007853567600250244
qa_4,qa,0,0.001709282398223877,0.002136409282684326
qa_4,qa,1,0.0009053945541381836,0.001362621784210205
qa_4,qa,2,0.0003795027732849121,0.0006422996520996094
qa_4,qa,3,0.0005039572715759277,0.001023411750793457
qa_4,qa,4,0.0007191896438598633,0.001305222511291504
qa_4,qa,5,0.0006970763206481934,0.0012367963790893555
qa_4,qa,6,0.0005835294723510742,0.0010015368461608887
qa_4,qa,7,0.0005694031715393066,0.001137852668762207
qa_4,qa,8,0.0005481243133544922,0.0010758042335510254
qa_4,qa,9,0.0005538463592529297,0.0011685490608215332
qa_4,qa,10,0.0005323290824890137,0.0012611150741577148
qa_4,qa,11,0.0005286931991577148,0.001399695873260498
qa_4,qa,12,0.00048065185546875,0.0012593269348144531
qa_4,qa,13,0.0004640817642211914,0.0014538764953613281
qa_4,qa,14,0.0005041956901550293,0.001482248306274414
qa_4,qa,15,0.0005017518997192383,0.001748204231262207
qa_4,qa,16,0.00048738718032836914,0.0016542673110961914
qa_4,qa,17,0.0004976391792297363,0.0016106367111206055
qa_4,qa,18,0.00048166513442993164,0.0016488432884216309
qa_4,qa,19,0.0005695223808288574,0.0019524693489074707
qa_4,qa,20,0.0005969405174255371,0.0019565224647521973
qa_4,qa,21,0.0004343390464782715,0.001394510269165039
qa_4,qa,22,0.00044035911560058594,0.0015083551406860352
qa_4,qa,23,0.0004037618637084961,0.0012230277061462402
qa_4,qa,24,0.0003153681755065918,0.0009049773216247559
qa_4,qa,25,0.0003091096878051758,0.0008837580680847168
qa_4,qa,26,0.0002785921096801758,0.0008283853530883789
qa_4,qa,27,0.0010274052619934082,0.0030474066734313965
math_3,math,0,0.010117769241333008,0.01961338520050049
math_3,math,1,0.005806684494018555,0.012826144695281982
math_3,math,2,0.0024573802947998047,0.0059896111488342285
math_3,math,3,0.002883315086364746,0.008156895637512207
math_3,math,4,0.0037657618522644043,0.009270668029785156
math_3,math,5,0.003130793571472168,0.007898330688476562
math_3,math,6,0.0028711557388305664,0.007184088230133057
math_3,math,7,0.0031000375747680664,0.00793004035949707
math_3,math,8,0.0030042529106140137,0.008254766464233398
math_3,math,9,0.0034015774726867676,0.00919729471206665
math_3,math,10,0.003811180591583252,0.009186387062072754
math_3,math,11,0.004371523857116699,0.010048866271972656
math_3,math,12,0.00411146879196167,0.009728074073791504
math_3,math,13,0.005328774452209473,0.011620819568634033
math_3,math,14,0.005589306354522705,0.011955797672271729
math_3,math,15,0.0064193010330200195,0.012916266918182373
math_3,math,16,0.00713270902633667,0.013259410858154297
math_3,math,17,0.008022010326385498,0.013804256916046143
math_3,math,18,0.00826948881149292,0.014484584331512451
math_3,math,19,0.010852515697479248,0.016897976398468018
math_3,math,20,0.012505173683166504,0.01804029941558838
math_3,math,21,0.009333312511444092,0.013347625732421875
math_3,math,22,0.010331571102142334,0.01486051082611084
math_3,math,23,0.0084916353225708,0.013294577598571777
math_3,math,24,0.00628507137298584,0.010025382041931152
math_3,math,25,0.005975484848022461,0.009763181209564209
math_3,math,26,0.005443215370178223,0.008510112762451172
math_3,math,27,0.007289469242095947,0.011509597301483154
code_5,code,0,0.004532158374786377,0.004944562911987305
code_5,code,1,0.003092646598815918,0.003274977207183838
code_5,code,2,0.0015645027160644531,0.0017687678337097168
code_5,code,3,0.0027019381523132324,0.0030808448791503906
code_5,code,4,0.003581821918487549,0.004065573215484619
code_5,code,5,0.0030024051666259766,0.003466188907623291
code_5,code,6,0.002542257308959961,0.0030111074447631836
code_5,code,7,0.002654433250427246,0.0031127333641052246
code_5,code,8,0.0025349855422973633,0.0028415918350219727
code_5,code,9,0.002808094024658203,0.002878129482269287
code_5,code,10,0.0024104714393615723,0.0026848912239074707
code_5,code,11,0.002461254596710205,0.00278627872467041
code_5,code,12,0.0023912787437438965,0.0027312040328979492
code_5,code,13,0.0026404857635498047,0.003034830093383789
code_5,code,14,0.0026407241821289062,0.0031446218490600586
code_5,code,15,0.0024577975273132324,0.0030891895294189453
code_5,code,16,0.0026143789291381836,0.0030095577239990234
code_5,code,17,0.003093123435974121,0.0033013224601745605
code_5,code,18,0.003367304801940918,0.003781735897064209
code_5,code,19,0.0037896037101745605,0.00431591272354126
code_5,code,20,0.0039389729499816895,0.004291057586669922
code_5,code,21,0.0033826231956481934,0.0035880208015441895
code_5,code,22,0.0036292076110839844,0.0037266016006469727
code_5,code,23,0.0030628442764282227,0.0031536221504211426
code_5,code,24,0.002446115016937256,0.0025913119316101074
code_5,code,25,0.002415955066680908,0.0026935935020446777
code_5,code,26,0.0019047260284423828,0.0021009445190429688
code_5,code,27,0.005717635154724121,0.005558371543884277
qa_7,qa,0,0.0015149116516113281,0.0012094974517822266
qa_7,qa,1,0.0009813904762268066,0.0008875727653503418
qa_7,qa,2,0.0005180239677429199,0.0005627274513244629
qa_7,qa,3,0.000728607177734375,0.0009554624557495117
qa_7,qa,4,0.0009586215019226074,0.0012930631637573242
qa_7,qa,5,0.000951230525970459,0.001194775104522705
qa_7,qa,6,0.0007836818695068359,0.0009122490882873535
qa_7,qa,7,0.000770866870880127,0.001025378704071045
qa_7,qa,8,0.0007710456848144531,0.0009607076644897461
qa_7,qa,9,0.0008044838905334473,0.0009914636611938477
qa_7,qa,10,0.0007916092872619629,0.0010918378829956055
qa_7,qa,11,0.0007761716842651367,0.0012654662132263184
qa_7,qa,12,0.000676274299621582,0.0010768771171569824
qa_7,qa,13,0.000685274600982666,0.0011717677116394043
qa_7,qa,14,0.0006876587867736816,0.0011990070343017578
qa_7,qa,15,0.000666201114654541,0.001506030559539795
qa_7,qa,16,0.000639498233795166,0.0013734102249145508
qa_7,qa,17,0.0008307695388793945,0.0013816356658935547
qa_7,qa,18,0.0008484125137329102,0.0014091134071350098
qa_7,qa,19,0.0009362697601318359,0.0014882683753967285
qa_7,qa,20,0.0009673237800598145,0.0015016794204711914
qa_7,qa,21,0.000793159008026123,0.0011010169982910156
qa_7,qa,22,0.0008053183555603027,0.0011532902717590332
qa_7,qa,23,0.0006535649299621582,0.0008772611618041992
qa_7,qa,24,0.0005259513854980469,0.0006750226020812988
qa_7,qa,25,0.0005000829696655273,0.0006636381149291992
qa_7,qa,26,0.00043326616287231445,0.0006831884384155273
qa_7,qa,27,0.0008451342582702637,0.0012559890747070312
math_8,math,0,0.003039538860321045,0.0030279159545898438
math_8,math,1,0.0020429491996765137,0.0021702051162719727
math_8,math,2,0.0010737776756286621,0.0012289881706237793
math_8,math,3,0.0014860033988952637,0.001846015453338623
math_8,math,4,0.0019327998161315918,0.0025427937507629395
math_8,math,5,0.0018114447593688965,0.0023646950721740723
